Aircraft,Class,Target
18,5,569
19,1,634
20,3,644
21,5,671
22,5,765
23,1,891
24,2,931
25,6,940
26,1,976
27,6,1078
28,3,1085
29,2,1110
30,6,1130
31,3,1276
32,4,1324
33,1,1370
34,6,1401
35,1,1427
36,5,1460
37,5,1490
38,6,1578
39,2,1601
40,1,1713
41,4,1785
42,4,1799
43,2,1805
44,6,1808
45,5,1829
46,2,1891
47,5,1902
48,6,1944
49,5,1988
50,6,2017
51,3,2021
52,6,2027
53,3,2080
54,2,2118
Aircraft,Class,Target
1,1,0
2,5,33
3,3,75
4,5,221
5,6,257
6,4,283
7,3,333
8,2,389
9,5,454
10,6,512
11,3,600
12,1,672
13,5,774
14,2,814
15,2,825
16,5,919
17,3,931
18,1,949
19,3,1011
20,6,1040
21,5,1044
22,6,1059
23,2,1082
24,4,1088
25,4,1136
26,2,1144
27,6,1158
28,3,1204
29,3,1223
30,3,1226
31,5,1231
32,2,1313
33,5,1343
34,4,1368
35,6,1395
36,2,1463
37,2,1477
38,2,1483
39,3,1496
40,4,1573
41,1,1608
42,2,1628
43,1,1659
44,6,1668
45,6,1706
46,3,1716
47,5,1842
48,6,1849
49,5,1893
50,6,1946
51,6,1968
52,2,1989
53,5,2101
54,3,2118
Aircraft,Class,Target
1,1,0
2,2,88
3,4,91
4,1,97
5,5,126
6,6,228
7,3,322
8,5,329
9,2,342
10,5,364
11,6,379
12,2,396
13,5,406
14,2,432
15,3,474
16,4,485
17,2,562
18,5,624
19,4,632
20,1,685
21,2,720
22,3,770
23,3,810
24,1,814
25,3,886
26,4,919
27,5,1031
28,6,1045
29,5,1054
30,1,1059
31,5,1117
32,1,1137
33,3,1205
34,3,1261
35,2,1282
36,2,1300
37,6,1306
38,2,1388
39,3,1418
40,6,1483
41,5,1510
42,6,1546
43,6,1577
44,2,1621
45,4,1669
46,3,1681
47,3,1727
48,4,1750
49,6,1775
50,3,1789
51,6,1808
52,5,1954
53,6,1992
54,2,2118
Aircraft,Class,Target
1,2,0
2,2,6
3,1,42
4,1,56
5,4,121
6,2,193
7,5,199
8,4,216
9,6,278
10,6,297
11,3,409
12,1,442
13,2,480
14,1,506
15,4,533
16,2,575
17,5,585
18,3,593
19,3,651
20,1,739
21,2,795
22,2,799
23,5,802
24,5,807
25,3,837
26,3,885
27,2,897
28,4,928
29,4,937
30,4,952
31,6,1046
32,6,1053
33,2,1064
34,3,1084
35,5,1230
36,3,1251
37,5,1273
38,5,1341
39,2,1355
40,3,1373
41,3,1417
42,6,1446
43,6,1486
44,6,1532
45,3,1567
46,5,1620
47,5,1722
48,2,1745
49,6,1822
50,1,1872
51,5,1885
52,3,2011
53,5,2093
54,6,2118
Aircraft,Class,Target
1,4,0
2,1,38
3,6,126
4,2,139
5,6,251
6,2,277
7,2,304
8,5,360
9,1,378
10,2,436
11,3,447
12,3,468
13,5,487
14,4,633
15,3,686
16,6,722
17,3,736
18,3,753
19,5,801
20,2,813
21,2,821
22,6,841
23,3,863
24,4,869
25,1,873
26,6,898
27,3,903
28,2,906
29,2,913
30,5,975
31,2,1015
32,3,1046
33,3,1172
34,6,1202
35,1,1216
36,5,1258
37,6,1273
38,1,1306
39,5,1383
40,6,1392
41,3,1402
42,6,1496
43,6,1502
44,2,1574
45,5,1676
46,5,1741
47,4,1823
48,5,1869
49,3,1892
50,4,1921
51,5,1989
52,2,2039
53,4,2074
54,6,2118
