Aircraft,Class,Target
49,3,1833
50,6,1887
51,3,1959
52,6,1963
53,3,1978
54,2,1986
55,3,2020
56,1,2150
57,2,2154
58,1,2270
59,2,2346
60,3,2359
Aircraft,Class,Target
1,6,0
2,3,46
3,2,98
4,2,146
5,3,167
6,6,236
7,6,255
8,1,266
9,2,372
10,5,422
11,3,508
12,6,562
13,3,574
14,6,596
15,5,605
16,5,630
17,2,640
18,2,656
19,6,663
20,4,681
21,2,685
22,2,729
23,2,756
24,6,793
25,3,800
26,1,857
27,4,949
28,2,983
29,3,987
30,6,1013
31,5,1055
32,5,1068
33,1,1091
34,1,1122
35,6,1155
36,5,1217
37,2,1246
38,5,1285
39,2,1315
40,5,1387
41,1,1411
42,6,1426
43,3,1466
44,3,1474
45,2,1492
46,4,1498
47,6,1564
48,5,1578
49,4,1613
50,3,1694
51,3,1792
52,3,1802
53,6,1862
54,3,1992
55,4,2068
56,5,2073
57,1,2223
58,4,2339
59,5,2342
60,5,2359
Aircraft,Class,Target
1,1,0
2,3,57
3,3,76
4,4,86
5,2,216
6,2,255
7,4,273
8,3,277
9,6,339
10,5,355
11,6,399
12,6,406
13,2,456
14,6,467
15,2,500
16,4,512
17,6,520
18,5,589
19,6,626
20,2,650
21,3,655
22,3,662
23,5,691
24,3,697
25,4,728
26,1,754
27,2,794
28,6,807
29,4,811
30,5,829
31,3,910
32,6,1026
33,3,1112
34,6,1139
35,5,1289
36,5,1337
37,5,1389
38,3,1449
39,2,1525
40,1,1550
41,1,1642
42,1,1672
43,2,1738
44,5,1773
45,3,1827
46,5,1841
47,6,1851
48,2,1860
49,2,1894
50,5,1911
51,3,1914
52,4,2012
53,5,2058
54,1,2080
55,6,2186
56,3,2228
57,2,2300
58,6,2315
59,5,2338
60,2,2359
Aircraft,Class,Target
1,6,0
2,4,16
3,3,60
4,1,152
5,3,166
6,3,235
7,1,351
8,5,384
9,5,413
10,6,438
11,6,444
12,5,470
13,6,473
14,2,481
15,5,521
16,5,548
17,6,572
18,2,585
19,5,620
20,2,641
21,3,739
22,1,749
23,1,801
24,5,861
25,2,865
26,5,884
27,2,923
28,1,928
29,3,950
30,5,973
31,6,1079
32,3,1151
33,4,1181
34,2,1227
35,5,1245
36,4,1299
37,3,1308
38,6,1394
39,6,1428
40,4,1509
41,1,1526
42,2,1574
43,2,1611
44,3,1618
45,2,1633
46,2,1637
47,3,1647
48,6,1689
49,4,1746
50,3,1764
51,6,1914
52,5,1964
53,2,2040
54,6,2071
55,3,2083
56,6,2149
57,4,2156
58,2,2218
59,3,2229
60,5,2359
Aircraft,Class,Target
1,1,0
2,3,24
3,2,86
4,2,95
5,1,105
6,5,135
7,5,138
8,3,145
9,6,174
10,3,216
11,3,308
12,5,380
13,2,398
14,2,415
15,6,496
16,5,540
17,4,567
18,6,673
19,4,823
20,3,841
21,6,910
22,6,970
23,6,1007
24,3,1059
25,3,1081
26,3,1127
27,5,1146
28,2,1222
29,5,1288
30,2,1313
31,3,1429
32,6,1437
33,5,1442
34,1,1482
35,2,1486
36,4,1500
37,3,1506
38,5,1556
39,6,1595
40,6,1626
41,6,1652
42,2,1664
43,5,1718
44,4,1752
45,5,1787
46,5,1802
47,2,1823
48,3,1953
49,2,1976
50,2,1989
51,5,2005
52,3,2038
53,2,2136
54,6,2143
55,1,2200
56,6,2210
57,4,2221
58,1,2269
59,4,2273
60,1,2359
